Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2015 [YR2015],2020 [YR2020]
Middle East & North Africa (excluding high income),MNA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4519.00227459414,4163.41862517798,3250.86904841379
Middle East & North Africa (IDA & IBRD countries),TMN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4542.13650553212,4169.2905456146,3245.3984618076
Middle income,MIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3540.50530649918,4914.93635893797,5333.59371104556
North America,NAC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,48694.2773522938,55719.485041468,62025.2038477449
Not classified,INX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
OECD members,OED,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,35473.0932758267,37337.112900259,38601.2672386806
Other small states,OSS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,11517.4692470171,14067.4199199528,12380.5570883555
Pacific island small states,PSS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2962.85178614213,3903.55512468782,3940.11398126277
Post-demographic dividend,PST,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,40371.8408951775,42621.7341887328,44947.569353252
Pre-demographic dividend,PRE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1330.88559077756,1665.98891139172,1342.47422847638
Small states,SST,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10476.2691136552,12664.4162171653,11276.9055412344
South Asia,SAS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1147.12614306748,1525.61781104253,1879.20853281488
South Asia (IDA & IBRD),TSA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1147.12614306748,1525.61781104253,1879.20853281488
Sub-Saharan Africa,SSF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1500.36435775441,1760.97481292173,1500.12736020347
Sub-Saharan Africa (excluding high income),SSA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1499.46373709552,1759.81137854923,1499.06413257293
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1500.36435775441,1760.97481292173,1500.12736020347
Upper middle income,UMC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5857.80589995149,8448.80887507529,9398.90921352365
World,WLD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9477.64525233408,10664.1215150633,11099.2274887077
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 09/16/2022,,,,,,
