Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2015 [YR2015],2020 [YR2020]
El Salvador,SLV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2880,3440,3630
Equatorial Guinea,GNQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9970,10850,5800
Eritrea,ERI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,510,..,..
Estonia,EST,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,14580,18570,23040
Eswatini,SWZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3460,3800,3390
Ethiopia,ETH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,380,600,890
Faroe Islands,FRO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Fiji,FJI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3650,5100,4930
Finland,FIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,49750,47180,50080
France,FRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,43970,41130,39500
French Polynesia,PYF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Gabon,GAB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7850,7970,7030
"Gambia, The",GMB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,890,620,740
Georgia,GEO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3210,4410,4260
Germany,DEU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,44680,45780,47520
Ghana,GHA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1240,1940,2310
Gibraltar,GIB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Greece,GRC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,27610,20190,17950
Greenland,GRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Grenada,GRD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6940,7750,8910
Guam,GUM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Guatemala,GTM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2730,3700,4490
Guinea,GIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,690,760,960
Guinea-Bissau,GNB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,580,640,760
Guyana,GUY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4510,5470,8220
Haiti,HTI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1130,1410,1320
Honduras,HND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1740,2060,2190
"Hong Kong SAR, China",HKG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,33620,41180,48560
